#{"t_start": 1767536077.5276003, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.945,22,205.1037
0.965,14,205.123584
0.96,16,205.146711
0.8525,59,205.230743
0.93,28,205.267339
0.935,26,205.299827
0.9675,13,205.314018
0.88,48,205.372386
0.96,16,205.392881
0.84,64,205.480752
0.935,26,205.51194
0.9,40,205.558875
0.88,48,205.620334
0.95,20,205.643575
0.965,14,205.66257
0.9675,13,205.678708
0.9175,33,205.718077
0.94,24,205.746692
0.93,28,205.781701
0.9125,35,205.823457
0.7175,113,205.9626
0.9525,19,205.984721
0.935,26,206.016133
0.975,10,206.028696
0.855,58,206.101692
0.96,16,206.120769
0.95,20,206.143314
0.91,36,206.186777
0.94,24,206.214966
0.935,26,206.252297
0.915,34,206.305695
0.875,50,206.375234
0.95,20,206.409189
0.93,28,206.456892
0.945,22,206.491365
0.9725,11,206.511274
0.9275,29,206.554138
0.93,28,206.592216
0.9,40,206.639791
0.9175,33,206.677707
0.7075,117,206.826847
0.9075,37,206.86974
0.9325,27,206.901689
0.92,32,206.944184
0.915,34,206.997653
0.9,40,207.047955
0.955,18,207.069606
0.87,52,207.13166
0.9225,31,207.167971
0.9175,33,207.207723
0.965,14,207.223749
0.9525,19,207.245789
0.955,18,207.266859
0.9375,25,207.295699
0.9,40,207.355682
0.945,22,207.384093
0.96,16,207.403649
0.9025,39,207.45682
0.915,34,207.502666
0.8625,55,207.584953
0.9625,15,207.603049
0.905,38,207.649007
0.8775,49,209.771704
0.9575,17,209.796939
0.9275,29,209.83464
0.8875,45,209.896269
0.96,16,209.920406
0.92,32,209.959953
0.8725,51,210.018055
0.9275,29,210.053113
0.95,20,210.077078
0.93,28,210.109223
0.93,28,210.14794
0.9375,25,210.179713
0.94,24,210.208676
0.825,70,210.287655
0.9375,25,210.317655
0.865,54,210.387906
0.9275,29,210.425753
0.9525,19,210.451633
0.9475,21,210.480934
0.8825,47,210.53475
0.9675,13,210.550299
0.91,36,210.59375
0.955,18,210.619834
0.9525,19,210.64312
0.925,30,210.687857
0.96,16,210.706903
0.96,16,210.725446
0.955,18,210.748737
0.9525,19,210.770698
0.9325,27,210.802328
0.93,28,210.853762
0.965,14,210.880282
0.965,14,210.902004
0.975,10,210.920121
0.945,22,210.962981
0.96,16,210.987087
0.9275,29,211.020797
0.935,26,211.050884
0.9325,27,211.08597
0.9725,11,211.099848
0.895,42,211.149722
0.925,30,211.189658
0.9625,15,211.209766
0.9675,13,211.226909
0.9425,23,211.253931
0.9625,15,211.272024
0.96,16,211.291129
0.925,30,211.325846
0.9125,35,211.37065
0.93,28,211.406081
0.935,26,211.435731
0.98,8,211.446778
0.9625,15,211.464156
0.905,38,211.507834
0.935,26,211.537418
0.96,16,211.557058
0.95,20,211.5797
0.945,22,211.607394
0.9625,15,211.630846
0.86,56,211.711288
0.93,28,211.755443
0.9725,11,211.770956
0.8975,41,211.820081
0.975,10,211.832595
0.9625,15,211.8507
0.9175,33,211.889975
0.9525,19,211.912059
0.4425,223,212.19776
0.9475,21,212.221835
0.955,18,212.248635
0.9175,33,212.287944
0.9375,25,212.316116
0.9675,13,212.331738
0.95,20,212.356866
0.935,26,212.390404
0.93,28,214.466991
0.97,12,214.484053
0.9375,25,214.519704
0.955,18,214.544783
0.8225,71,214.639147
0.9725,11,214.652918
0.9425,23,214.679813
0.9625,15,214.696851
0.91,36,214.739753
0.96,16,214.758837
0.9575,17,214.779931
0.9575,17,214.800671
0.965,14,214.817825
0.945,22,214.844952
0.97,12,214.862119
0.945,22,214.888747
0.9675,13,214.90482
0.9725,11,214.917929
0.9575,17,214.938217
0.9475,21,214.96186
0.94,24,214.989998
0.945,22,215.023918
0.9225,31,215.065844
0.9725,11,215.078942
0.9625,15,215.098432
0.96,16,215.117992
0.945,22,215.145097
0.9525,19,215.16772
0.945,22,215.192919
0.9275,29,215.229751
0.9275,29,215.278368
0.965,14,215.306993
0.9575,17,215.341984
0.94,24,215.376022
0.9725,11,215.392752
0.9575,17,215.413036
0.9725,11,215.425555
0.935,26,215.4557
0.965,14,215.472797
0.9575,17,215.494419
0.935,26,215.524498
0.96,16,215.544199
0.9675,13,215.560248
0.95,20,215.583196
0.9675,13,215.598748
0.905,38,215.641636
0.945,22,215.666887
0.935,26,215.697123
0.9625,15,215.714751
0.9575,17,215.733828
0.955,18,215.755454
0.94,24,215.781924
0.9725,11,215.79573
0.94,24,215.833048
0.955,18,215.855663
0.9775,9,215.867243
0.905,38,215.912345
0.9475,21,215.937785
0.97,12,215.951811
0.9675,13,215.967855
0.9675,13,215.982996
0.9775,9,215.994416
0.9675,13,216.010006
0.96,16,216.028609
0.925,30,216.063947
0.9625,15,216.081701
0.9675,13,216.101782
0.955,18,216.133902
0.94,24,216.164092
0.9125,35,216.203955
0.9525,19,216.226013
0.95,20,216.249647
0.97,12,216.263934
0.9525,19,216.290022
0.9375,25,216.321949
0.96,16,216.347735
0.955,18,216.373138
0.9675,13,216.389687
0.95,20,216.415107
0.895,42,216.464965
0.8825,47,216.518482
0.955,18,216.541732
0.94,24,216.571889
0.9525,19,216.596468
0.95,20,216.623672
0.9275,29,216.658631
0.9475,21,216.683648
0.9475,21,216.709928
0.9425,23,216.737113
0.9575,17,216.756746
0.9425,23,216.783587
0.8675,53,216.846069
0.93,28,216.879192
0.9375,25,216.912311
0.955,18,216.933905
0.94,24,216.96607
0.9525,19,216.987699
0.0,360,219.489746
0.96,16,219.509923
0.945,22,219.535462
0.9625,15,219.553077
0.735,106,219.675354
0.9325,27,219.7116
0.9425,23,219.738269
0.96,16,219.757307
0.9575,17,219.777364
0.9575,17,219.797918
0.955,18,219.819644
0.9575,17,219.8398
0.97,12,219.853821
0.95,20,219.876974
0.94,24,219.9052
0.94,24,219.933161
0.965,14,219.954808
0.965,14,219.977405
0.9675,13,219.992937
0.965,14,220.009639
0.9525,19,220.032838
0.955,18,220.055041
0.9675,13,220.072071
0.965,14,220.088628
0.9225,31,220.126897
0.9725,11,220.13906
0.95,20,220.162728
0.935,26,220.193813
0.955,18,220.21971
0.955,18,220.241798
0.9625,15,220.259575
0.9375,25,220.28983
0.945,22,220.318393
0.93,28,220.351261
0.9575,17,220.373596
0.95,20,220.397139
0.9725,11,220.410007
0.9475,21,220.435073
0.88,48,220.497853
0.945,22,220.523945
0.9625,15,220.544047
0.97,12,220.562185
0.9725,11,220.575551
0.9625,15,220.593663
0.9675,13,220.609006
0.9675,13,220.624755
0.9625,15,220.643891
0.9475,21,220.668553
0.96,16,220.687096
0.9425,23,220.714706
0.975,10,220.726727
0.9625,15,220.743825
0.9375,25,220.775081
0.9475,21,220.799655
0.9575,17,220.820001
0.92,32,220.855579
0.9625,15,220.874655
0.9375,25,220.904059
0.9525,19,220.925711
0.95,20,220.950634
0.935,26,220.980869
0.96,16,221.000051
0.9525,19,221.022645
0.915,34,221.06744
0.9525,19,221.090354
0.9475,21,221.114016
0.945,22,221.142602
0.9375,25,221.179024
0.95,20,221.208658
0.9525,19,221.231879
0.9525,19,221.254427
0.9475,21,221.279078
0.8725,51,221.34031
0.965,14,221.360814
0.96,16,221.384743
0.945,22,221.412687
0.92,32,221.450794
0.965,14,221.467831
0.94,24,221.503552
0.93,28,221.54774
0.9625,15,221.567841
0.9675,13,221.585919
0.955,18,221.607041
0.9525,19,223.683071
0.965,14,223.705234
0.94,24,223.738912
0.965,14,223.758732
0.945,22,223.790047
0.9475,21,223.817672
0.955,18,223.843809
0.9625,15,223.865864
0.965,14,223.885933
0.9375,25,223.915803
0.945,22,223.942011
0.94,24,223.9729
0.9575,17,223.992448
0.9675,13,224.007702
0.945,22,224.033802
0.9575,17,224.053939
0.935,26,224.084072
0.965,14,224.105129
0.9575,17,224.128835
0.93,28,224.161988
0.945,22,224.188176
0.96,16,224.207866
0.97,12,224.221961
0.975,10,224.234027
0.95,20,224.257696
0.9125,35,224.301626
0.945,22,224.32768
0.9625,15,224.345853
0.945,22,224.37309
0.9625,15,224.392504
0.9375,25,224.423783
0.9125,35,224.46686
0.95,20,224.492568
0.9475,21,224.518744
0.93,28,224.549861
0.9675,13,224.565882
0.9475,21,224.591115
0.9675,13,224.606139
0.96,16,224.625437
0.9225,31,224.661748
0.9425,23,224.68884
0.9375,25,224.718044
0.935,26,224.747864
0.9575,17,224.767709
0.9525,19,224.789144
0.95,20,224.813728
0.9675,13,224.831842
0.9575,17,224.852959
0.9725,11,224.866978
0.94,24,224.894846
0.97,12,224.908907
0.9625,15,224.927567
0.96,16,224.947852
0.9325,27,224.979883
0.935,26,225.010003
0.9775,9,225.021022
0.935,26,225.050852
0.965,14,225.067794
0.965,14,225.084042
0.97,12,225.09784
0.9575,17,225.118237
0.9425,23,225.146159
0.9675,13,225.161562
0.93,28,225.19498
0.965,14,225.21561
0.9625,15,225.233715
0.965,14,225.250793
0.9725,11,225.264004
0.955,18,225.288933
0.955,18,225.3176
0.9325,27,225.355468
0.9725,11,225.371586
0.9325,27,225.4055
0.9325,27,225.439648
0.965,14,225.455723
0.975,10,225.470789
0.945,22,225.496967
0.97,12,225.510559
0.9625,15,225.52871
0.935,26,225.560081
0.955,18,225.584034
0.9525,19,225.60626
0.97,12,225.62311
0.9625,15,225.64872
0.9675,13,225.665815
0.96,16,225.685939
0.925,30,225.723051
0.975,10,225.735101
0.975,10,225.74712
0.9525,19,225.771371
0.9575,17,225.790996
0.9525,19,225.813037
0.965,14,225.830613
0.9475,21,225.855928
0.95,20,225.880891
0.9375,25,225.910657
0.9575,17,225.932782
0.9675,13,225.948874
0.9425,23,225.980979
0.955,18,226.001082
0.9625,15,226.018726
0.925,30,226.055877
0.96,16,226.078525
