#{"t_start": 1767536782.4364533, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.97,12,260.422979
0.9425,23,260.45605
0.95,20,260.488117
0.93,28,260.526339
0.92,32,260.574079
0.8975,41,260.631971
0.89,44,260.691916
0.92,32,260.749445
0.9225,31,260.801996
0.92,32,260.848287
0.91,36,260.909695
0.92,32,260.96587
0.9675,13,260.991962
0.95,20,261.024053
0.8925,43,261.082317
0.965,14,261.101901
0.97,12,261.119587
0.955,18,261.144008
0.9425,23,261.178479
0.9525,19,263.57111
0.93,28,263.615011
0.8725,51,263.691177
0.9575,17,263.716862
0.9575,17,263.747009
0.965,14,263.771107
0.9375,25,263.805552
0.8925,43,263.871968
0.9475,21,263.905807
0.9475,21,263.936916
0.93,28,263.976036
0.915,34,264.022207
0.9275,29,264.063405
0.93,28,264.10354
0.96,16,264.126137
0.935,26,264.166751
0.9375,25,264.202478
0.93,28,264.246877
0.9625,15,264.268448
0.945,22,264.301907
0.9675,13,264.323064
0.955,18,264.354125
0.92,32,264.414824
0.9725,11,264.431912
0.915,34,264.493272
0.9475,21,264.524898
0.935,26,264.563955
0.96,16,264.590018
0.9525,19,264.616929
0.94,24,264.649662
0.9225,31,264.693033
0.96,16,264.714828
0.9125,35,264.774999
0.95,20,264.80893
0.945,22,264.848515
0.875,50,264.930045
0.9525,19,264.961578
0.96,16,264.983044
0.905,38,265.037969
0.9525,19,265.069159
0.9525,19,265.096213
0.9675,13,265.114506
0.945,22,265.148168
0.935,26,265.188926
0.9075,37,265.24615
0.9475,21,265.277232
0.93,28,265.321095
0.9425,23,265.357164
0.9,40,265.419908
0.9275,29,265.459876
0.975,10,265.47392
0.9425,23,265.512345
0.9625,15,265.534132
0.9525,19,265.559931
0.95,20,265.586996
0.975,10,265.600695
0.9075,37,265.655011
0.955,18,265.680824
0.9625,15,265.701074
0.9575,17,265.725277
0.9175,33,265.770993
0.9575,17,265.798104
0.9325,27,265.84276
0.9375,25,265.88297
0.9425,23,265.917972
0.9275,29,265.963661
0.97,12,265.980783
0.96,16,266.004405
0.9325,27,266.041183
0.9525,19,266.06672
0.925,30,266.111156
0.9375,25,266.150696
0.9525,19,266.179465
0.915,34,266.226861
0.9625,15,266.249163
0.9575,17,266.273213
0.9175,33,266.319911
0.945,22,266.352978
0.9475,21,266.384461
0.925,30,266.430903
0.9375,25,266.473126
0.935,26,266.51187
0.9675,13,266.530941
0.945,22,266.56139
0.8825,47,266.627133
0.9625,15,266.648689
0.94,24,269.029011
0.945,22,269.059812
0.9525,19,269.087129
0.9375,25,269.123844
